beta,B,Df,phi,gamma,P,C,Q_ult
20,2,0.5,25,17,75,7.5,459.553
20,2,1,25,17,75,7.5,563.567
20,2,1.5,25,17,75,7.5,664.674
20,2,2,25,17,75,7.5,783.612
20,2,0.5,25,17,100,7.5,459.985
20,2,1,25,17,100,7.5,563.066
20,2,1.5,25,17,100,7.5,665.504
20,2,2,25,17,100,7.5,783.703
20,0.5,0.5,10,19,50,7.5,43.873
20,0.5,0.5,10,19,75,7.5,64.559
20,0.5,0.5,10,19,100,7.5,86.078
20,1,0.5,10,19,50,7.5,49.146
20,1,1,10,19,50,7.5,50.761
20,1,0.5,10,19,75,7.5,64.454
20,1,1,10,19,75,7.5,68.044
20,1,0.5,10,19,100,7.5,86.078
20,1,1,10,19,100,7.5,86.078
20,1.5,0.5,10,19,50,7.5,51.61
20,1.5,1,10,19,50,7.5,52.726
20,1.5,1.5,10,19,50,7.5,52.556
20,1.5,0.5,10,19,75,7.5,72.084
20,1.5,1,10,19,75,7.5,72.043
20,1.5,1.5,10,19,75,7.5,72.68
20,1.5,0.5,10,19,100,7.5,89.779
20,1.5,1,10,19,100,7.5,90.579
20,1.5,1.5,10,19,100,7.5,93.778
20,2,0.5,10,19,50,7.5,94.671
20,2,1,10,19,50,7.5,117.095
20,2,1.5,10,19,50,7.5,131.349
20,2,2,10,19,50,7.5,183.774
20,2,0.5,10,19,75,7.5,95.843
20,2,1,10,19,75,7.5,116.512
20,2,1.5,10,19,75,7.5,131.764
20,2,2,10,19,75,7.5,184.267
20,2,0.5,10,19,100,7.5,95.707
20,2,1,10,19,100,7.5,114.976
20,2,1.5,10,19,100,7.5,132.319
20,2,2,10,19,100,7.5,197.343
20,0.5,0.5,15,19,50,7.5,48.905
20,0.5,0.5,15,19,75,7.5,64.381
20,0.5,0.5,15,19,100,7.5,86.078
20,1,0.5,15,19,50,7.5,84.925
20,1,1,15,19,50,7.5,109.566
20,1,0.5,15,19,75,7.5,84.958
20,1,1,15,19,75,7.5,109.937
20,1,0.5,15,19,100,7.5,91.943
20,1,1,15,19,100,7.5,110.88
20,1.5,0.5,15,19,50,7.5,105.53
20,1.5,1,15,19,50,7.5,180.526
20,1.5,1.5,15,19,50,7.5,208.703
20,1.5,0.5,15,19,75,7.5,106.425
20,1.5,1,15,19,75,7.5,180.321
20,1.5,1.5,15,19,75,7.5,208.109
20,1.5,0.5,15,19,100,7.5,108.41
20,1.5,1,15,19,100,7.5,180.493
20,1.5,1.5,15,19,100,7.5,208.541
20,2,0.5,15,19,50,7.5,199.982
20,2,1,15,19,50,7.5,221.432
20,2,1.5,15,19,50,7.5,260.572
20,2,2,15,19,50,7.5,305.192
20,2,0.5,15,19,75,7.5,200.871
20,2,1,15,19,75,7.5,222.131
20,2,1.5,15,19,75,7.5,255.258
20,2,2,15,19,75,7.5,305.441
20,2,0.5,15,19,100,7.5,200.972
20,2,1,15,19,100,7.5,221.526
20,2,1.5,15,19,100,7.5,259.447
20,2,2,15,19,100,7.5,307.114
20,0.5,0.5,20,19,50,7.5,52.244
20,0.5,0.5,20,19,75,7.5,70.71
20,0.5,0.5,20,19,100,7.5,87.413
20,1,0.5,20,19,50,7.5,136.185
20,1,1,20,19,50,7.5,172.76
20,1,0.5,20,19,75,7.5,136.788
20,1,1,20,19,75,7.5,172.931
20,1,0.5,20,19,100,7.5,137.122
20,1,1,20,19,100,7.5,173.547
20,1.5,0.5,20,19,50,7.5,229.766
20,1.5,1,20,19,50,7.5,296.327
20,1.5,1.5,20,19,50,7.5,350.775
20,1.5,0.5,20,19,75,7.5,229.104
20,1.5,1,20,19,75,7.5,296.894
20,1.5,1.5,20,19,75,7.5,350.782
20,1.5,0.5,20,19,100,7.5,229.626
20,1.5,1,20,19,100,7.5,296.98
20,1.5,1.5,20,19,100,7.5,350.955
20,2,0.5,20,19,50,7.5,314.413
20,2,1,20,19,50,7.5,383.115
20,2,1.5,20,19,50,7.5,441.892
20,2,2,20,19,50,7.5,520.13
20,2,0.5,20,19,75,7.5,314.938
20,2,1,20,19,75,7.5,383.702
20,2,1.5,20,19,75,7.5,442.014
20,2,2,20,19,75,7.5,520.831
20,2,0.5,20,19,100,7.5,316.573
20,2,1,20,19,100,7.5,382.831
20,2,1.5,20,19,100,7.5,441.976
20,2,2,20,19,100,7.5,519.692
20,0.5,0.5,25,19,50,7.5,53.309
20,0.5,0.5,25,19,75,7.5,74.149
20,0.5,0.5,25,19,100,7.5,94.654
20,1,0.5,25,19,50,7.5,163.575
20,1,1,25,19,50,7.5,208.535
20,1,0.5,25,19,75,7.5,157.982
20,1,1,25,19,75,7.5,208.633
20,1,0.5,25,19,100,7.5,163.93
20,1,1,25,19,100,7.5,208.717
20,1.5,0.5,25,19,50,7.5,261.111
20,1.5,1,25,19,50,7.5,361.568
20,1.5,1.5,25,19,50,7.5,446.926
20,1.5,0.5,25,19,75,7.5,261.465
20,1.5,1,25,19,75,7.5,362.287
20,1.5,1.5,25,19,75,7.5,446.85
20,1.5,0.5,25,19,100,7.5,261.95
20,1.5,1,25,19,100,7.5,362.381
20,1.5,1.5,25,19,100,7.5,447.28
20,2,0.5,25,19,50,7.5,484.613
20,2,1,25,19,50,7.5,600.805
20,2,1.5,25,19,50,7.5,699.414
20,2,2,25,19,50,7.5,836.652
20,2,0.5,25,19,75,7.5,484.763
20,2,1,25,19,75,7.5,601.295
20,2,1.5,25,19,75,7.5,702.727
20,2,2,25,19,75,7.5,837.21
20,2,0.5,25,19,100,7.5,484.831
20,2,1,25,19,100,7.5,599.453
20,2,1.5,25,19,100,7.5,704.422
20,2,2,25,19,100,7.5,837.51
20,0.5,0.5,10,21,50,7.5,44.605
20,0.5,0.5,10,21,75,7.5,64.559
20,0.5,0.5,10,21,100,7.5,86.078
20,1,0.5,10,21,50,7.5,49.803
20,1,1,10,21,50,7.5,51.723
20,1,0.5,10,21,75,7.5,64.559
20,1,1,10,21,75,7.5,69.101
20,1,0.5,10,21,100,7.5,86.078
20,1,1,10,21,100,7.5,86.078
20,1.5,0.5,10,21,50,7.5,51.995
20,1.5,1,10,21,50,7.5,53.117
20,1.5,1.5,10,21,50,7.5,53.695
20,1.5,0.5,10,21,75,7.5,68.912
20,1.5,1,10,21,75,7.5,72.694
20,1.5,1.5,10,21,75,7.5,75.496
20,1.5,0.5,10,21,100,7.5,90.078
20,1.5,1,10,21,100,7.5,90.86
20,1.5,1.5,10,21,100,7.5,94.288
20,2,0.5,10,21,50,7.5,95.54
20,2,1,10,21,50,7.5,118.053
20,2,1.5,10,21,50,7.5,131.496
20,2,2,10,21,50,7.5,183.993
20,2,0.5,10,21,75,7.5,96.676
20,2,1,10,21,75,7.5,118.235
20,2,1.5,10,21,75,7.5,131.578
20,2,2,10,21,75,7.5,185.453
20,2,0.5,10,21,100,7.5,96.998
20,2,1,10,21,100,7.5,118.455
20,2,1.5,10,21,100,7.5,133.122
20,2,2,10,21,100,7.5,198.256
20,0.5,0.5,15,21,50,7.5,49.864
20,0.5,0.5,15,21,75,7.5,65.176
20,0.5,0.5,15,21,100,7.5,86.276
20,1,0.5,15,21,50,7.5,85.103
20,1,1,15,21,50,7.5,110.12
20,1,0.5,15,21,75,7.5,85.245
20,1,1,15,21,75,7.5,110.707
20,1,0.5,15,21,100,7.5,92.557
20,1,1,15,21,100,7.5,111.604
20,1.5,0.5,15,21,50,7.5,106.665
20,1.5,1,15,21,50,7.5,181.129
20,1.5,1.5,15,21,50,7.5,209.053
20,1.5,0.5,15,21,75,7.5,106.745
20,1.5,1,15,21,75,7.5,181.346
20,1.5,1.5,15,21,75,7.5,209.55
20,1.5,0.5,15,21,100,7.5,109.832
20,1.5,1,15,21,100,7.5,181.566
20,1.5,1.5,15,21,100,7.5,209.656
20,2,0.5,15,21,50,7.5,200.025
20,2,1,15,21,50,7.5,226.881
20,2,1.5,15,21,50,7.5,262.191
20,2,2,15,21,50,7.5,310.686
20,2,0.5,15,21,75,7.5,201.538
20,2,1,15,21,75,7.5,226.931
20,2,1.5,15,21,75,7.5,262.502
20,2,2,15,21,75,7.5,310.833
20,2,0.5,15,21,100,7.5,201.867
20,2,1,15,21,100,7.5,226.982
20,2,1.5,15,21,100,7.5,262.784
20,2,2,15,21,100,7.5,311.357
20,0.5,0.5,20,21,50,7.5,53.433
20,0.5,0.5,20,21,75,7.5,71.459
20,0.5,0.5,20,21,100,7.5,88.261
20,1,0.5,20,21,50,7.5,137.103
20,1,1,20,21,50,7.5,178.512
20,1,0.5,20,21,75,7.5,137.248
20,1,1,20,21,75,7.5,178.915
20,1,0.5,20,21,100,7.5,137.383
20,1,1,20,21,100,7.5,178.76
20,1.5,0.5,20,21,50,7.5,237.425
20,1.5,1,20,21,50,7.5,301.299
20,1.5,1.5,20,21,50,7.5,364.246
20,1.5,0.5,20,21,75,7.5,237.474
20,1.5,1,20,21,75,7.5,301.505
20,1.5,1.5,20,21,75,7.5,364.925
20,1.5,0.5,20,21,100,7.5,237.569
20,1.5,1,20,21,100,7.5,301.872
20,1.5,1.5,20,21,100,7.5,365.103
20,2,0.5,20,21,50,7.5,325.582
20,2,1,20,21,50,7.5,395.308
20,2,1.5,20,21,50,7.5,459.89
20,2,2,20,21,50,7.5,542.361
20,2,0.5,20,21,75,7.5,325.719
20,2,1,20,21,75,7.5,395.734
20,2,1.5,20,21,75,7.5,460.436
20,2,2,20,21,75,7.5,542.565
20,2,0.5,20,21,100,7.5,325.889
20,2,1,20,21,100,7.5,395.715
20,2,1.5,20,21,100,7.5,460.242
20,2,2,20,21,100,7.5,542.688
20,0.5,0.5,25,21,50,7.5,59.914
20,0.5,0.5,25,21,75,7.5,74.436
20,0.5,0.5,25,21,100,7.5,95.681
20,1,0.5,25,21,50,7.5,158.437
20,1,1,25,21,50,7.5,219.295
20,1,0.5,25,21,75,7.5,158.448
20,1,1,25,21,75,7.5,219.76
20,1,0.5,25,21,100,7.5,158.782
20,1,1,25,21,100,7.5,219.827
20,1.5,0.5,25,21,50,7.5,283.232
20,1.5,1,25,21,50,7.5,373.564
20,1.5,1.5,25,21,50,7.5,479.338
20,1.5,0.5,25,21,75,7.5,283.586
20,1.5,1,25,21,75,7.5,373.731
20,1.5,1.5,25,21,75,7.5,479.282
20,1.5,0.5,25,21,100,7.5,283.877
20,1.5,1,25,21,100,7.5,373.597
20,1.5,1.5,25,21,100,7.5,479.749
20,2,0.5,25,21,50,7.5,510.648
20,2,1,25,21,50,7.5,624.122
20,2,1.5,25,21,50,7.5,738.23
20,2,2,25,21,50,7.5,893.172
20,2,0.5,25,21,75,7.5,510.676
20,2,1,25,21,75,7.5,624.527
20,2,1.5,25,21,75,7.5,745.431
20,2,2,25,21,75,7.5,893.3
20,2,0.5,25,21,100,7.5,506.879
20,2,1,25,21,100,7.5,624.736
20,2,1.5,25,21,100,7.5,744.043
20,2,2,25,21,100,7.5,893.322
30,0.5,0.5,10,17,50,7.5,43.039
30,0.5,0.5,10,17,75,7.5,64.559
30,0.5,0.5,10,17,100,7.5,86.078
30,1,0.5,10,17,50,7.5,43.039
30,1,1,10,17,50,7.5,43.039
30,1,0.5,10,17,75,7.5,64.56
30,1,1,10,17,75,7.5,64.559
30,1,0.5,10,17,100,7.5,86.078
30,1,1,10,17,100,7.5,86.078
30,1.5,0.5,10,17,50,7.5,43.039
30,1.5,1,10,17,50,7.5,43.039
30,1.5,1.5,10,17,50,7.5,43.039
30,1.5,0.5,10,17,75,7.5,64.559
30,1.5,1,10,17,75,7.5,64.559
30,1.5,1.5,10,17,75,7.5,64.559
30,1.5,0.5,10,17,100,7.5,86.078
30,1.5,1,10,17,100,7.5,86.078
30,1.5,1.5,10,17,100,7.5,86.078
30,2,0.5,10,17,50,7.5,43.039
30,2,1,10,17,50,7.5,44.44
30,2,1.5,10,17,50,7.5,48.242
30,2,2,10,17,50,7.5,51.975
30,2,0.5,10,17,75,7.5,64.559
30,2,1,10,17,75,7.5,64.559
30,2,1.5,10,17,75,7.5,64.559
30,2,2,10,17,75,7.5,64.559
30,2,0.5,10,17,100,7.5,86.078
30,2,1,10,17,100,7.5,86.078
30,2,1.5,10,17,100,7.5,86.078
30,2,2,10,17,100,7.5,86.078
30,0.5,0.5,15,17,50,7.5,45.47
30,0.5,0.5,15,17,75,7.5,64.559
30,0.5,0.5,15,17,100,7.5,86.078
30,1,0.5,15,17,50,7.5,51.732
30,1,1,15,17,50,7.5,52.51
30,1,0.5,15,17,75,7.5,64.559
30,1,1,15,17,75,7.5,68.683
30,1,0.5,15,17,100,7.5,86.078
30,1,1,15,17,100,7.5,86.078
30,1.5,0.5,15,17,50,7.5,52.161
30,1.5,1,15,17,50,7.5,54.547
30,1.5,1.5,15,17,50,7.5,61.71
30,1.5,0.5,15,17,75,7.5,72.415
30,1.5,1,15,17,75,7.5,74.171
30,1.5,1.5,15,17,75,7.5,76.999
30,1.5,0.5,15,17,100,7.5,86.078
30,1.5,1,15,17,100,7.5,87.153
30,1.5,1.5,15,17,100,7.5,97.304
30,2,0.5,15,17,50,7.5,102.165
30,2,1,15,17,50,7.5,115.284
30,2,1.5,15,17,50,7.5,138.626
30,2,2,15,17,50,7.5,173.938
30,2,0.5,15,17,75,7.5,91.3425
30,2,1,15,17,75,7.5,115.284
30,2,1.5,15,17,75,7.5,138.631
30,2,2,15,17,75,7.5,173.899
30,2,0.5,15,17,100,7.5,93.769
30,2,1,15,17,100,7.5,116.5
30,2,1.5,15,17,100,7.5,138.607
30,2,2,15,17,100,7.5,173.93
30,0.5,0.5,20,17,50,7.5,48.964
30,0.5,0.5,20,17,75,7.5,66.683
30,0.5,0.5,20,17,100,7.5,86.078
30,1,0.5,20,17,50,7.5,53.773
30,1,1,20,17,50,7.5,54.056
30,1,0.5,20,17,75,7.5,76.791
30,1,1,20,17,75,7.5,80.0325
30,1,0.5,20,17,100,7.5,94.773
30,1,1,20,17,100,7.5,95.843
30,1.5,0.5,20,17,50,7.5,125.217
30,1.5,1,20,17,50,7.5,152.757
30,1.5,1.5,20,17,50,7.5,184.959
30,1.5,0.5,20,17,75,7.5,125.546
30,1.5,1,20,17,75,7.5,152.766
30,1.5,1.5,20,17,75,7.5,185.352
30,1.5,0.5,20,17,100,7.5,125.834
30,1.5,1,20,17,100,7.5,151.332
30,1.5,1.5,20,17,100,7.5,185.776
30,2,0.5,20,17,50,7.5,145.992
30,2,1,20,17,50,7.5,202.566
30,2,1.5,20,17,50,7.5,247.536
30,2,2,20,17,50,7.5,309.913
30,2,0.5,20,17,75,7.5,146.056
30,2,1,20,17,75,7.5,202.643
30,2,1.5,20,17,75,7.5,247.542
30,2,2,20,17,75,7.5,309.897
30,2,0.5,20,17,100,7.5,146.392
30,2,1,20,17,100,7.5,202.719
30,2,1.5,20,17,100,7.5,247.507
30,2,2,20,17,100,7.5,309.98
30,0.5,0.5,25,17,50,7.5,51.022
30,0.5,0.5,25,17,75,7.5,71.963
30,0.5,0.5,25,17,100,7.5,89.511
30,1,0.5,25,17,50,7.5,55.263
30,1,1,25,17,50,7.5,63.135
30,1,0.5,25,17,75,7.5,77.193
30,1,1,25,17,75,7.5,84.045
30,1,0.5,25,17,100,7.5,98.903
30,1,1,25,17,100,7.5,100.89
30,1.5,0.5,25,17,50,7.5,155.895
30,1.5,1,25,17,50,7.5,249.106
30,1.5,1.5,25,17,50,7.5,307.327
30,1.5,0.5,25,17,75,7.5,155.986
30,1.5,1,25,17,75,7.5,249.657
30,1.5,1.5,25,17,75,7.5,307.425
30,1.5,0.5,25,17,100,7.5,156.441
30,1.5,1,25,17,100,7.5,249.877
30,1.5,1.5,25,17,100,7.5,307.627
30,2,0.5,25,17,50,7.5,240.455
30,2,1,25,17,50,7.5,330.096
30,2,1.5,25,17,50,7.5,401.994
30,2,2,25,17,50,7.5,500.277
30,2,0.5,25,17,75,7.5,240.656
30,2,1,25,17,75,7.5,330.012
30,2,1.5,25,17,75,7.5,402.352
30,2,2,25,17,75,7.5,500.363
30,2,0.5,25,17,100,7.5,240.69
30,2,1,25,17,100,7.5,330.022
30,2,1.5,25,17,100,7.5,402.655
30,2,2,25,17,100,7.5,500.441
30,0.5,0.5,10,19,50,7.5,43.039
30,0.5,0.5,10,19,75,7.5,64.559
30,0.5,0.5,10,19,100,7.5,86.078
30,1,0.5,10,19,50,7.5,43.039
30,1,1,10,19,50,7.5,43.039
30,1,0.5,10,19,75,7.5,64.559
30,1,1,10,19,75,7.5,64.559
30,1,0.5,10,19,100,7.5,86.078
30,1,1,10,19,100,7.5,86.078
30,1.5,0.5,10,19,50,7.5,43.039
30,1.5,1,10,19,50,7.5,43.039
30,1.5,1.5,10,19,50,7.5,43.039
30,1.5,0.5,10,19,75,7.5,64.559
30,1.5,1,10,19,75,7.5,64.559
30,1.5,1.5,10,19,75,7.5,64.559
30,1.5,0.5,10,19,100,7.5,86.078
30,1.5,1,10,19,100,7.5,86.078
30,1.5,1.5,10,19,100,7.5,86.078
30,2,0.5,10,19,50,7.5,43.039
30,2,1,10,19,50,7.5,43.039
30,2,1.5,10,19,50,7.5,43.039
30,2,2,10,19,50,7.5,44.966
30,2,0.5,10,19,75,7.5,64.559
30,2,1,10,19,75,7.5,64.559
30,2,1.5,10,19,75,7.5,64.559
30,2,2,10,19,75,7.5,64.559
30,2,0.5,10,19,100,7.5,86.078
30,2,1,10,19,100,7.5,86.078
30,2,1.5,10,19,100,7.5,86.078
30,2,2,10,19,100,7.5,86.078
30,0.5,0.5,15,19,50,7.5,43.039
30,0.5,0.5,15,19,75,7.5,64.559
30,0.5,0.5,15,19,100,7.5,86.078
30,1,0.5,15,19,50,7.5,50.066
30,1,1,15,19,50,7.5,51.373
30,1,0.5,15,19,75,7.5,64.559
30,1,1,15,19,75,7.5,70.525
30,1,0.5,15,19,100,7.5,86.078
30,1,1,15,19,100,7.5,86.078
30,1.5,0.5,15,19,50,7.5,52.817
30,1.5,1,15,19,50,7.5,82.826
30,1.5,1.5,15,19,50,7.5,103.927
30,1.5,0.5,15,19,75,7.5,74.453
30,1.5,1,15,19,75,7.5,74.678
30,1.5,1.5,15,19,75,7.5,76.583
30,1.5,0.5,15,19,100,7.5,86.078
30,1.5,1,15,19,100,7.5,89.53
30,1.5,1.5,15,19,100,7.5,98.335
30,2,0.5,15,19,50,7.5,102.555
30,2,1,15,19,50,7.5,116.245
30,2,1.5,15,19,50,7.5,139.741
30,2,2,15,19,50,7.5,177.081
30,2,0.5,15,19,75,7.5,96.153
30,2,1,15,19,75,7.5,117.05
30,2,1.5,15,19,75,7.5,140.391
30,2,2,15,19,75,7.5,177.376
30,2,0.5,15,19,100,7.5,96.696
30,2,1,15,19,100,7.5,118.261
30,2,1.5,15,19,100,7.5,140.555
30,2,2,15,19,100,7.5,178.079
30,0.5,0.5,20,19,50,7.5,50.852
30,0.5,0.5,20,19,75,7.5,67.327
30,0.5,0.5,20,19,100,7.5,86.078
30,1,0.5,20,19,50,7.5,54.964
30,1,1,20,19,50,7.5,56.183
30,1,0.5,20,19,75,7.5,77.421
30,1,1,20,19,75,7.5,81.2825
30,1,0.5,20,19,100,7.5,95.279
30,1,1,20,19,100,7.5,96.584
30,1.5,0.5,20,19,50,7.5,126.715
30,1.5,1,20,19,50,7.5,153.071
30,1.5,1.5,20,19,50,7.5,199.058
30,1.5,0.5,20,19,75,7.5,126.853
30,1.5,1,20,19,75,7.5,155.53
30,1.5,1.5,20,19,75,7.5,199.559
30,1.5,0.5,20,19,100,7.5,127.471
30,1.5,1,20,19,100,7.5,155.73
30,1.5,1.5,20,19,100,7.5,201.371
30,2,0.5,20,19,50,7.5,160.702
30,2,1,20,19,50,7.5,209.898
30,2,1.5,20,19,50,7.5,248.27
30,2,2,20,19,50,7.5,325.226
30,2,0.5,20,19,75,7.5,160.754
30,2,1,20,19,75,7.5,209.068
30,2,1.5,20,19,75,7.5,248.173
30,2,2,20,19,75,7.5,320.064
30,2,0.5,20,19,100,7.5,160.812
30,2,1,20,19,100,7.5,206.145
30,2,1.5,20,19,100,7.5,248.116
30,2,2,20,19,100,7.5,325.265
30,0.5,0.5,25,19,50,7.5,53.623
30,0.5,0.5,25,19,75,7.5,72.601
30,0.5,0.5,25,19,100,7.5,90.582
30,1,0.5,25,19,50,7.5,56.973
30,1,1,25,19,50,7.5,64.215
30,1,0.5,25,19,75,7.5,77.588
30,1,1,25,19,75,7.5,79.9875
30,1,0.5,25,19,100,7.5,98.976
30,1,1,25,19,100,7.5,99.86
30,1.5,0.5,25,19,50,7.5,173.61
30,1.5,1,25,19,50,7.5,252.83
30,1.5,1.5,25,19,50,7.5,315.886
30,1.5,0.5,25,19,75,7.5,173.824
30,1.5,1,25,19,75,7.5,259.757
30,1.5,1.5,25,19,75,7.5,316.345
30,1.5,0.5,25,19,100,7.5,173.638
30,1.5,1,25,19,100,7.5,261.433
