beta,B,Df,phi,gamma,P,Q_ult
30,0.5,0.5,20,17,75,66.683
20,1.5,1.5,20,17,100,341.61
10,1.0,1.0,15,17,75,115.835
30,1.5,0.5,25,17,75,155.986
30,2.0,1.0,20,21,50,204.913
40,2.0,1.5,10,17,50,43.039
30,2.0,1.0,20,19,50,209.898
40,1.0,1.0,25,17,50,54.891
20,2.0,1.5,10,21,100,133.122
40,1.5,0.5,15,17,50,43.039
30,2.0,2.0,15,17,75,173.899
30,1.5,0.5,25,17,100,156.441
10,1.0,1.0,25,19,100,459.873
20,2.0,2.0,15,19,50,305.192
20,1.5,0.5,25,17,75,258.561
30,1.5,0.5,15,17,75,72.415
30,1.0,0.5,10,19,100,86.078
40,1.5,1.0,25,21,50,99.302
30,1.0,0.5,25,17,75,77.193
20,1.5,1.5,10,19,75,72.68
20,2.0,1.5,20,17,75,423.637
20,1.0,0.5,10,19,100,86.078
10,1.5,1.5,20,17,75,518.687
40,1.0,1.0,15,21,100,86.078
40,1.5,0.5,10,17,75,64.559
20,1.0,0.5,25,19,75,157.982
30,2.0,2.0,15,21,100,168.424
20,1.0,0.5,25,21,100,158.782
10,1.5,0.5,10,19,100,96.168
20,1.5,0.5,10,19,75,72.084
20,2.0,0.5,20,21,75,325.719
20,2.0,2.0,20,21,75,542.565
30,1.0,1.0,25,21,75,80.2275
10,1.0,0.5,25,17,75,208.455
30,2.0,2.0,20,21,75,324.787
40,2.0,0.5,25,21,75,119.739
30,0.5,0.5,10,19,50,43.039
20,1.0,0.5,25,19,50,163.575
40,0.5,0.5,15,17,50,43.039
40,1.0,1.0,15,17,75,64.559
40,1.0,1.0,15,17,50,43.039
10,1.5,1.5,10,17,50,67.345
20,1.5,0.5,25,17,100,258.672
30,0.5,0.5,10,21,75,64.559
20,1.0,1.0,15,21,75,110.707
10,1.5,0.5,15,17,75,220.253
10,1.0,1.0,20,19,100,310.329
20,1.5,1.5,10,19,50,52.556
20,2.0,1.0,15,21,100,226.982
10,1.5,0.5,20,21,75,367.379
30,1.0,1.0,20,21,75,78.16
20,2.0,2.0,10,19,50,183.774
30,2.0,1.0,15,17,100,116.5
20,2.0,2.0,10,21,75,185.453
40,1.5,0.5,15,21,50,43.039
30,1.5,1.5,15,17,50,61.71
30,2.0,0.5,15,17,100,93.769
40,2.0,1.0,15,19,100,86.078
40,1.0,0.5,25,21,50,55.752
10,0.5,0.5,20,19,50,55.588
40,1.0,0.5,15,17,100,86.078
10,0.5,0.5,20,21,100,92.897
30,2.0,2.0,25,21,50,537.116
20,1.5,1.5,15,17,75,207.322
40,1.5,1.0,10,17,75,64.559
10,1.5,0.5,10,17,100,94.824
20,2.0,0.5,25,19,75,484.763
20,1.0,0.5,15,17,50,77.66
30,1.5,0.5,10,19,100,86.078
20,2.0,1.5,20,21,100,460.242
40,2.0,2.0,15,19,75,65.7375
30,1.5,1.5,15,21,75,93.991
30,1.5,0.5,25,19,75,173.824
10,2.0,1.0,10,21,100,256.183
10,2.0,0.5,20,19,75,464.211
40,1.5,1.0,20,21,50,77.05
10,0.5,0.5,10,19,50,47.279
30,2.0,1.0,20,19,75,209.068
30,1.0,1.0,10,19,50,43.039
20,0.5,0.5,10,21,100,86.078
30,1.0,1.0,10,19,100,86.078
10,2.0,0.5,10,17,75,195.089
20,1.0,0.5,20,17,75,133.5675
30,1.5,1.0,25,17,50,249.106
40,2.0,1.5,20,17,50,151.847
40,2.0,2.0,25,19,75,361.129
20,0.5,0.5,25,21,100,95.681
40,1.5,1.5,25,17,100,173.266
20,2.0,1.0,15,17,50,220.893
20,2.0,0.5,10,19,100,95.707
30,1.0,0.5,15,21,75,64.559
10,2.0,0.5,10,21,75,206.02
10,1.0,1.0,10,21,100,92.471
40,2.0,0.5,15,17,50,43.039
40,2.0,2.0,15,17,100,88.65
10,1.5,0.5,25,17,50,461.4673625
40,0.5,0.5,20,21,75,64.559
10,1.0,1.0,20,17,100,212.186
40,2.0,2.0,15,21,100,86.078
10,1.0,0.5,25,21,75,360.481
30,1.0,0.5,20,17,50,53.773
10,0.5,0.5,25,17,75,77.086
20,2.0,2.0,10,19,100,197.343
30,2.0,1.5,15,21,50,140.59
10,2.0,1.5,15,19,75,462.039
10,1.5,0.5,20,17,100,318.797
40,1.5,1.5,15,19,50,43.039
40,2.0,1.5,25,21,100,258.953
30,1.0,1.0,15,19,75,70.525
20,0.5,0.5,20,21,75,71.459
20,1.5,1.5,15,19,50,208.703
30,1.5,1.0,20,17,50,152.757
10,1.0,0.5,25,19,75,293.736
10,1.5,1.0,20,21,100,468.945
30,1.5,1.5,10,21,50,43.039
10,1.5,1.5,15,21,50,377.32
20,2.0,0.5,20,19,75,314.938
40,1.5,1.0,20,21,100,86.078
20,1.5,1.0,15,21,50,181.129
10,2.0,0.5,10,19,50,198.86
30,1.0,1.0,10,17,50,43.039
40,2.0,1.5,20,19,50,151.587
30,2.0,0.5,15,19,50,102.555
30,2.0,1.0,25,17,100,330.022
20,1.5,1.5,25,19,100,447.28
30,0.5,0.5,10,17,50,43.039
30,1.0,1.0,15,21,100,86.078
40,1.5,1.5,25,17,75,172.653
30,2.0,1.5,25,21,100,425.5
10,2.0,1.0,10,19,100,250.166
30,1.0,0.5,15,19,100,86.078
30,1.5,1.0,20,19,100,155.73
10,1.5,1.5,10,19,100,230.831
20,1.0,1.0,20,19,100,173.547
30,1.5,1.5,25,17,100,307.627
40,1.5,0.5,25,17,50,55.838
10,2.0,1.0,15,17,100,375.58
20,2.0,1.5,20,21,75,460.436
30,1.0,0.5,15,19,50,50.066
30,1.5,1.5,20,19,100,201.371
10,2.0,1.5,10,19,50,290.324
30,2.0,1.0,10,17,75,64.559
40,2.0,0.5,20,19,100,86.078
30,1.0,1.0,15,17,75,68.683
10,1.0,1.0,10,19,75,74.612
30,0.5,0.5,10,17,100,86.078
20,2.0,0.5,20,17,50,302.496
10,1.5,1.0,20,21,75,468.938
30,2.0,0.5,10,17,75,64.559
30,1.0,1.0,20,19,75,81.2825
30,1.5,0.5,20,19,50,126.715
40,2.0,2.0,20,19,50,190.427
10,1.5,1.0,15,17,100,288.757
20,2.0,1.5,15,17,100,258.977
40,1.0,0.5,15,19,50,43.039
30,1.0,0.5,10,21,50,43.039
30,2.0,1.5,10,19,50,43.039
10,0.5,0.5,10,21,50,47.473
10,1.0,0.5,10,19,50,53.316
10,1.0,1.0,10,17,50,59.305
20,1.5,1.0,25,21,50,373.564
20,2.0,0.5,15,21,75,201.538
10,2.0,0.5,15,17,75,300.785
10,1.0,1.0,20,21,100,327.527
40,1.0,1.0,25,19,75,75.215
20,1.0,1.0,15,19,100,110.88
40,2.0,1.5,20,17,75,151.971
30,2.0,2.0,10,19,100,86.078
30,2.0,1.5,20,19,75,248.173
40,2.0,1.0,15,21,75,64.559
30,2.0,1.5,15,17,100,138.607
20,1.5,1.0,10,17,75,71.84
20,2.0,1.5,15,17,50,252.921
40,1.5,1.5,10,17,100,86.078
20,2.0,0.5,10,17,75,94.872
10,2.0,1.5,15,19,50,461.955
10,2.0,2.0,10,19,75,327.604
40,1.0,0.5,20,19,75,64.559
20,2.0,2.0,15,21,75,310.833
30,1.0,1.0,20,17,50,54.056
30,0.5,0.5,15,17,75,64.559
10,2.0,1.5,15,17,50,436.177
40,1.5,0.5,10,17,50,43.039
30,1.0,0.5,25,17,50,55.263
30,1.5,1.0,15,19,100,89.53
30,2.0,1.5,20,19,50,248.27
20,0.5,0.5,20,17,100,85.981
40,1.5,0.5,20,21,50,46.679
10,1.5,1.0,15,19,75,304.233
20,1.0,0.5,20,19,75,136.788
30,1.5,0.5,10,21,50,43.039
30,2.0,1.5,10,17,50,48.242
20,2.0,0.5,25,17,50,459.408
20,1.5,1.0,25,19,100,362.381
40,1.0,1.0,20,21,75,64.559
20,2.0,2.0,10,17,100,183.996
10,2.0,1.0,10,17,50,240.783
30,2.0,2.0,15,17,50,173.938
10,1.0,0.5,15,17,75,88.284
30,1.5,1.5,20,19,50,199.058
30,2.0,2.0,10,21,100,86.078
20,1.5,1.0,25,19,50,361.568
30,1.5,1.5,20,19,75,199.559
40,1.5,1.5,20,19,75,113.262
20,0.5,0.5,10,19,100,86.078
30,1.5,1.5,15,21,100,98.43
30,1.0,1.0,20,19,50,56.183
30,2.0,1.0,25,19,75,335.157
20,2.0,0.5,10,21,50,95.54
30,1.0,0.5,10,19,75,64.559
40,2.0,0.5,20,21,75,69.673
40,1.5,1.5,15,17,50,44.295
10,1.0,1.0,15,17,100,116.631
10,1.5,1.0,20,19,100,443.347
10,2.0,1.5,15,21,50,487.276
30,2.0,1.0,15,19,100,118.261
40,2.0,1.5,20,19,100,152.004
40,2.0,0.5,25,17,50,79.155
40,2.0,2.0,20,17,50,189.478
30,0.5,0.5,15,19,75,64.559
30,2.0,0.5,25,21,75,275.024
40,1.5,1.0,25,21,75,98.955
20,2.0,1.5,20,19,75,442.014
10,2.0,2.0,15,19,75,543.049
30,1.0,0.5,10,17,75,64.56
30,2.0,1.5,20,21,100,249.545
30,2.0,2.0,10,17,100,86.078
30,1.5,1.0,25,19,50,252.83
30,1.5,0.5,20,21,50,108.735
10,1.0,1.0,25,21,100,487.881
20,1.5,1.0,25,21,100,373.597
40,1.5,1.0,15,21,75,64.559
30,2.0,0.5,15,17,75,91.3425
40,1.5,0.5,25,17,100,91.6
40,2.0,0.5,25,19,75,118.416
20,2.0,1.5,15,21,50,262.191
40,0.5,0.5,20,21,50,46.679
30,1.5,1.5,25,17,50,307.327
40,1.0,1.0,10,17,100,86.078
30,1.5,0.5,15,19,50,52.817
10,1.5,1.5,10,17,100,98.176
10,2.0,1.5,10,19,100,290.333
20,0.5,0.5,15,17,75,63.045
10,0.5,0.5,20,21,50,56.068
40,1.0,0.5,15,21,100,86.078
30,2.0,1.0,25,21,50,341.68
30,2.0,1.5,15,21,75,140.616
30,1.5,1.5,25,21,100,325.11
40,1.0,1.0,25,21,75,72.1875
10,1.0,0.5,25,19,100,294.412
30,2.0,2.0,25,21,100,539.621
40,0.5,0.5,25,21,50,43.413
20,2.0,1.0,20,21,100,395.715
10,2.0,1.0,20,19,75,596.103
20,1.5,1.0,10,17,50,58.743
20,0.5,0.5,25,19,75,74.149
40,1.0,1.0,15,19,50,43.039
40,1.5,1.5,25,19,75,174.333
20,2.0,0.5,25,19,100,484.831
20,1.5,1.5,20,19,50,350.775
10,2.0,1.5,15,19,100,462.06
10,1.5,1.0,10,17,100,96.851
20,2.0,1.0,10,21,100,118.455
30,2.0,2.0,10,17,75,64.559
40,1.0,1.0,20,17,100,86.078
40,2.0,0.5,10,17,100,86.078
40,0.5,0.5,25,17,100,86.078
30,2.0,0.5,20,21,100,154.814
40,1.5,0.5,15,21,100,86.078
10,1.0,1.0,25,21,50,487.763
30,1.5,1.5,15,19,75,76.583
10,0.5,0.5,15,21,50,51.706
10,2.0,0.5,10,17,100,195.159
20,0.5,0.5,15,19,100,86.078
40,2.0,1.5,20,21,75,148.405
10,1.0,1.0,15,21,50,225.507
10,1.0,0.5,15,17,100,95.96
30,2.0,0.5,25,17,100,240.69
40,2.0,0.5,15,17,75,64.559
20,1.0,1.0,20,19,50,172.76
40,2.0,1.0,25,17,75,153.476
40,1.0,1.0,25,21,100,86.078
30,2.0,1.5,15,17,75,138.631
40,1.5,0.5,25,19,100,94.66
30,1.0,1.0,10,17,75,64.559
40,1.0,0.5,15,19,100,86.078
40,2.0,1.5,20,17,100,144.415
40,0.5,0.5,25,19,75,64.559
30,1.5,1.5,15,19,100,98.335
10,0.5,0.5,20,19,75,74.688
30,2.0,1.0,20,21,75,205.084
30,1.0,1.0,20,19,100,96.584
40,1.5,1.0,25,17,100,99.48
30,1.0,1.0,10,21,50,43.039
30,1.5,1.0,15,21,50,83.461
10,2.0,1.0,15,19,75,396.123
40,1.5,1.0,25,19,50,97.884
20,1.5,1.5,25,19,75,446.85
40,0.5,0.5,15,21,50,43.039
10,1.0,1.0,10,19,50,92.08
20,1.0,0.5,20,21,100,137.383
40,1.0,0.5,20,19,50,43.039
10,2.0,1.0,15,17,75,375.475
10,2.0,0.5,15,19,75,311.39
20,2.0,0.5,25,17,100,459.985
10,1.5,0.5,10,21,75,80.3925
40,2.0,2.0,15,21,50,54.175
10,1.0,1.0,10,17,100,89.296
40,2.0,2.0,10,17,50,43.039
40,1.0,0.5,20,17,100,86.078
20,1.5,1.5,15,19,100,208.541
10,2.0,1.5,15,21,100,487.339
30,2.0,1.0,10,21,75,64.559
40,2.0,0.5,15,19,50,43.039
30,1.0,0.5,10,21,100,86.078
40,2.0,1.0,15,21,50,43.039
20,1.5,1.5,25,21,75,479.282
20,2.0,1.5,15,17,75,253.321
40,2.0,2.0,25,17,100,348.952
10,1.0,0.5,20,21,100,260.699
10,2.0,2.0,15,19,50,542.914
20,1.0,0.5,20,19,100,137.122
30,1.0,0.5,10,17,100,86.078
40,2.0,0.5,25,21,50,119.384
40,1.5,1.0,15,21,100,86.078
20,0.5,0.5,15,21,75,65.176
30,2.0,2.0,15,21,75,167.997
20,2.0,1.0,20,19,75,383.702
40,2.0,1.5,20,19,75,152.887
10,1.5,1.5,15,19,100,358.982
20,2.0,1.0,25,17,75,563.567
30,2.0,2.0,20,21,50,324.924
40,1.5,1.5,15,21,50,43.039
30,2.0,0.5,10,17,100,86.078
20,2.0,1.5,15,19,100,259.447
10,1.0,0.5,25,19,50,293.691
20,2.0,2.0,20,21,100,542.688
10,1.5,1.5,15,19,75,358.778
30,2.0,1.5,25,17,100,402.655
30,2.0,0.5,25,21,50,275.051
10,0.5,0.5,10,21,100,66.984
30,1.5,1.0,10,21,50,43.039
10,0.5,0.5,25,21,50,56.556
20,0.5,0.5,10,17,100,86.078
40,0.5,0.5,25,19,100,86.078
20,2.0,1.0,25,17,50,568.278
10,2.0,1.0,10,19,75,250.174
10,1.0,0.5,10,21,100,89.368
30,2.0,0.5,20,19,75,160.754
10,2.0,2.0,15,21,50,574.857
40,2.0,0.5,15,21,100,86.078
40,1.5,1.5,15,21,75,64.559
20,1.0,0.5,25,17,50,161.075
30,1.5,1.5,25,19,50,315.886
10,2.0,1.5,10,21,75,301.645
30,1.0,1.0,10,17,100,86.078
10,0.5,0.5,10,17,75,57.586
10,1.5,1.0,10,19,75,192.661
30,1.0,0.5,20,17,75,76.791
40,1.0,0.5,20,21,50,46.679
30,2.0,0.5,20,21,50,154.426
40,2.0,0.5,15,19,100,86.078
40,2.0,0.5,20,19,75,75.21
20,1.0,1.0,15,19,75,109.937
40,2.0,1.0,15,19,75,64.559
30,0.5,0.5,15,17,50,45.47
40,1.5,0.5,25,19,50,58.175
20,2.0,0.5,10,17,100,94.935
30,1.5,0.5,10,17,100,86.078
30,1.5,1.0,20,17,100,151.332
30,1.5,0.5,25,21,50,175.167
20,2.0,0.5,25,21,50,510.648
20,2.0,1.0,25,21,100,624.736
40,2.0,1.5,20,21,100,148.613
40,2.0,1.5,25,19,50,261.794
30,1.5,0.5,15,19,75,74.453
30,1.5,0.5,10,17,75,64.559
40,2.0,1.0,10,17,50,43.039
20,1.0,0.5,15,21,100,92.557
30,2.0,0.5,15,17,50,102.165
20,2.0,1.5,15,21,100,262.784
40,2.0,0.5,25,17,100,99.208
20,1.0,0.5,10,21,75,64.559
40,1.0,1.0,20,17,75,64.559
20,2.0,2.0,10,21,50,183.993
30,2.0,2.0,25,17,75,500.363
40,2.0,1.0,25,19,75,164.287
20,2.0,1.0,20,19,50,383.115
10,1.5,0.5,25,17,75,461.563
40,2.0,1.0,10,17,100,86.078
20,1.5,1.5,15,21,75,209.55
30,2.0,1.0,25,17,50,330.096
30,2.0,1.5,25,19,50,414.503
30,2.0,0.5,10,21,50,43.039
40,1.5,0.5,15,17,100,86.078
10,1.5,1.5,10,21,50,239.138
20,1.5,1.5,25,17,50,410.55
30,1.5,1.5,15,19,50,103.927
30,2.0,1.0,25,19,100,335.835
20,1.5,1.0,25,17,100,358.322
30,1.5,1.0,10,19,75,64.559
40,1.5,1.0,25,19,75,98.611
40,1.0,0.5,15,17,75,64.559
30,1.5,0.5,10,17,50,43.039
20,1.0,0.5,25,21,50,158.437
30,2.0,1.0,20,21,100,205.172
30,0.5,0.5,25,17,100,89.511
30,2.0,1.5,15,17,50,138.626
10,1.5,1.0,25,17,100,634.887
30,2.0,2.0,15,19,50,177.081
20,0.5,0.5,10,19,75,64.559
20,1.0,0.5,25,19,100,163.93
40,2.0,0.5,20,17,50,69.303
40,1.0,0.5,20,17,50,42.804
30,2.0,0.5,15,21,100,97.078
30,2.0,0.5,10,19,100,86.078
10,1.0,0.5,10,21,75,73.514
10,1.0,0.5,15,19,75,167.72
40,2.0,1.5,15,17,100,86.078
10,1.5,1.0,15,17,50,288.546
40,2.0,1.5,10,17,75,64.559
10,1.0,0.5,15,21,75,174.399
20,2.0,1.0,20,17,100,365.459
10,1.5,0.5,25,21,50,563.837
20,1.5,1.0,10,19,75,72.043
20,1.5,1.0,25,17,50,357.905
20,1.5,1.0,20,21,75,301.505
40,2.0,1.0,20,19,50,108.579
40,1.0,0.5,25,17,50,53.217
30,1.5,1.5,10,17,75,64.559
40,1.5,0.5,20,19,50,48.02
20,0.5,0.5,10,21,75,64.559
10,1.0,1.0,20,17,50,211.755
10,1.5,1.5,10,17,75,76.746
40,1.0,0.5,25,19,100,86.078
40,1.5,1.5,20,17,50,105.119
20,2.0,1.0,20,19,100,382.831
20,2.0,1.5,20,17,100,423.737
10,1.0,1.0,25,19,50,458.631
30,1.5,1.0,10,19,50,43.039
10,2.0,2.0,10,21,50,341.103
30,1.0,1.0,15,19,100,86.078
40,2.0,1.0,20,17,75,110.112
30,1.0,0.5,10,21,75,64.559
20,1.5,1.0,15,17,100,98.951
30,2.0,0.5,20,17,100,146.392
20,1.0,1.0,10,17,50,50.85
40,2.0,1.0,10,17,75,64.559
20,2.0,1.5,15,19,50,260.572
30,0.5,0.5,20,19,100,86.078
10,1.5,1.5,20,21,75,588.474
40,0.5,0.5,10,17,100,86.078
10,1.0,1.0,10,21,75,74.865
10,0.5,0.5,20,19,100,91.095
30,1.0,1.0,25,17,75,84.045
20,2.0,0.5,25,17,75,459.553
30,1.5,0.5,20,17,50,125.217
40,1.5,1.0,15,19,100,86.078
20,1.5,1.0,15,21,100,181.566
40,2.0,1.5,10,17,100,86.078
40,0.5,0.5,15,17,100,86.078
40,2.0,2.0,25,17,50,350.108
10,1.5,1.0,10,21,50,199.076
10,1.0,1.0,15,17,50,115.445
30,2.0,0.5,10,19,75,64.559
20,1.5,1.0,25,19,75,362.287
40,1.5,1.5,25,21,50,168.032
10,1.0,0.5,25,17,100,208.733
30,2.0,1.5,10,21,75,64.559
20,1.5,0.5,15,21,100,109.832
30,2.0,1.0,10,19,75,64.559
10,1.5,1.0,15,21,100,318.238
10,1.5,1.0,10,17,75,75.915
20,2.0,1.5,10,17,75,130.874
20,2.0,2.0,20,21,50,542.361
20,1.0,1.0,25,17,75,205.886
10,1.0,0.5,20,19,100,248.118
30,2.0,1.0,20,19,100,206.145
10,2.0,1.5,10,17,50,278.553
30,1.5,1.0,10,17,75,64.559
40,1.5,1.5,20,19,50,112.776
30,2.0,0.5,20,19,50,160.702
20,1.5,1.0,15,21,75,181.346
40,2.0,1.0,20,21,100,110.012
30,2.0,1.0,15,17,75,115.284
30,2.0,1.5,20,21,75,249.028
10,1.0,1.0,25,19,75,459.085
30,1.5,0.5,25,21,75,175.245
30,1.0,1.0,20,17,75,80.0325
20,1.5,0.5,25,19,100,261.95
40,2.0,2.0,20,17,100,190.538
20,1.5,0.5,20,19,50,229.766
30,1.5,1.0,25,19,75,259.757
30,2.0,1.5,25,17,75,402.352
10,2.0,1.0,15,21,100,416.877
10,2.0,2.0,10,17,50,313.789
20,2.0,1.5,15,19,75,255.258
40,1.5,1.5,25,19,50,173.831
10,2.0,1.0,20,21,75,632.283
30,2.0,0.5,20,21,75,154.465
40,1.5,0.5,15,21,75,64.559
20,1.0,1.0,25,17,50,205.835
30,2.0,0.5,15,19,75,96.153
20,2.0,0.5,15,17,75,198.288
30,1.5,1.0,10,19,100,86.078
10,0.5,0.5,15,19,75,67.963
30,2.0,1.5,25,19,100,413.702
40,1.5,1.0,15,19,50,43.039
10,1.0,0.5,25,17,50,208.58
20,1.5,0.5,15,17,50,76.213
40,1.0,0.5,20,21,75,64.559
20,0.5,0.5,20,19,75,70.71
10,2.0,0.5,10,19,75,198.98
40,2.0,2.0,15,17,50,56.832
40,1.5,0.5,25,17,75,78.087
40,1.5,1.5,15,19,100,86.078
30,1.5,1.5,25,19,100,316.611
40,1.5,1.0,15,19,75,64.559
